51.49871,-0.16012,1326378718
51.49841,-0.16041,1326378723
51.49821,-0.16063,1326378728
51.49804,-0.16054,1326378733
51.49770,-0.16046,1326378738
51.49734,-0.16068,1326378743
51.49709,-0.16079,1326378748
51.49705,-0.16076,1326378753
51.49696,-0.16115,1326378763
51.49690,-0.16182,1326378768
51.49683,-0.16255,1326378773
51.49670,-0.16298,1326378778
51.49666,-0.16303,1326378783
51.49646,-0.16322,1326378788
51.49624,-0.16337,1326378793
51.49609,-0.16300,1326378798
51.49578,-0.16279,1326378803
51.49513,-0.16269,1326378813
51.49487,-0.16277,1326378818
51.49502,-0.16315,1326378823
51.49536,-0.16356,1326378828
51.49571,-0.16374,1326378833
51.49588,-0.16375,1326378838
51.49602,-0.16374,1326379126
51.49628,-0.16351,1326379130
51.49657,-0.16316,1326379135
51.49674,-0.16294,1326379141
51.49684,-0.16260,1326379152
51.49689,-0.16187,1326379157
51.49696,-0.16095,1326379162
51.49716,-0.15933,1326379172
51.49719,-0.15916,1326379178
51.49723,-0.15878,1326379206
51.49729,-0.15817,1326379211
51.49736,-0.15761,1326379216
51.49739,-0.15735,1326379220
51.49743,-0.15678,1326379225
51.49748,-0.15602,1326379231
51.49749,-0.15542,1326379235
51.49757,-0.15467,1326379240
51.49773,-0.15434,1326379246
51.49775,-0.15430,1326379250
51.49781,-0.15422,1326379255
51.49800,-0.15396,1326379260
51.49815,-0.15380,1326379265
51.49908,-0.15482,1326379280
51.49944,-0.15472,1326379285
51.49986,-0.15411,1326379291
51.50009,-0.15355,1326379296
51.50004,-0.15299,1326379300
51.49966,-0.15230,1326379305
51.49936,-0.15182,1326379310
51.49958,-0.15140,1326379315
51.49985,-0.15103,1326379321
51.49997,-0.15084,1326379325
51.50009,-0.15064,1326379331
51.50014,-0.15050,1326379335
51.50030,-0.15030,1326379376
51.50048,-0.15009,1326379381
51.50063,-0.14988,1326379386
51.50078,-0.14999,1326379391
51.50114,-0.15069,1326379396
51.50155,-0.15130,1326379401
51.50174,-0.15155,1326379406
51.50204,-0.15183,1326379440
51.50245,-0.15210,1326379445
51.50265,-0.15222,1326379449
51.50290,-0.15235,1326379465
51.50313,-0.15205,1326379470
51.50322,-0.15157,1326379474
51.50342,-0.15110,1326379480
51.50383,-0.15123,1326379485
51.50408,-0.15159,1326379489
51.50429,-0.15213,1326379494
51.50473,-0.15205,1326379500
51.50537,-0.15190,1326379505
51.50586,-0.15203,1326379509
51.50666,-0.15269,1326379515
51.50733,-0.15345,1326379520
51.50795,-0.15416,1326379525
51.50840,-0.15471,1326379529
51.50883,-0.15526,1326379535
51.50900,-0.15549,1326379540
51.50909,-0.15562,1326379544
51.50926,-0.15588,1326379550
51.50953,-0.15623,1326379555
51.50975,-0.15654,1326379559
51.51001,-0.15684,1326379564
51.51022,-0.15706,1326379570
51.51027,-0.15712,1326379575
51.51037,-0.15723,1326379580
51.51081,-0.15754,1326379602
51.51126,-0.15592,1326379663
51.51156,-0.15489,1326379678
51.51172,-0.15499,1326379681
51.51307,-0.15573,1326379715
51.51359,-0.15608,1326379755
51.51374,-0.15608,1326379757
51.51425,-0.15606,1326379767
51.51464,-0.15633,1326379774
51.51488,-0.15648,1326379787
51.51498,-0.15649,1326379790
51.51605,-0.15705,1326379827
51.51712,-0.15756,1326379837
51.51733,-0.15765,1326379839
51.51868,-0.15823,1326379852
51.51889,-0.15833,1326379862
51.52073,-0.15914,1326379900
51.52103,-0.15927,1326379907
51.52112,-0.15933,1326379915
51.52138,-0.15944,1326379970
51.52148,-0.15947,1326380051
51.52180,-0.15962,1326380059
51.52227,-0.15742,1326380081
51.52233,-0.15717,1326380083
51.52251,-0.15627,1326380089
51.52276,-0.15456,1326380099
51.52285,-0.15403,1326380102
51.52323,-0.15198,1326380114
51.52329,-0.15161,1326380117
51.52336,-0.15017,1326380129
51.52829,-0.18110,1326380144
51.51037,-0.14917,1326380169
51.52394,-0.14580,1326380195
51.52397,-0.14566,1326380197
51.52414,-0.14478,1326380206
51.52416,-0.14439,1326380210
51.52408,-0.14206,1326380231
51.52466,-0.13952,1326380245
51.52495,-0.13863,1326380249
51.52514,-0.13770,1326380253
51.52556,-0.13603,1326380261
51.52579,-0.13494,1326380270
51.52719,-0.13131,1326380272
51.52604,-0.13411,1326380277
51.52466,-0.12767,1326380295
51.52612,-0.13393,1326380305
51.52634,-0.13381,1326380323
51.52674,-0.13268,1326380334
51.52719,-0.13131,1326380344
51.52758,-0.13021,1326380354
51.52772,-0.12986,1326380357
51.52805,-0.12888,1326380369
51.52813,-0.12862,1326380372
51.52822,-0.12827,1326380378
51.52838,-0.12758,1326380383
51.52851,-0.12734,1326380386
51.52878,-0.12696,1326380391
51.52895,-0.12661,1326380397
51.52990,-0.12443,1326380451
51.53026,-0.12361,1326380462
51.53048,-0.12306,1326380468
51.53059,-0.12274,1326380472
51.53067,-0.12247,1326380477
51.53087,-0.12049,1326380530
51.53090,-0.11968,1326380540
51.53087,-0.11944,1326380542
51.53082,-0.11920,1326380544
51.53023,-0.11682,1326380560
51.53011,-0.11635,1326380566
51.52996,-0.11598,1326380605
51.52976,-0.11556,1326380614
